,0
gastrocmed_iemg,0.3591819259548464
gastrocmed_mav,0.2249659038394269
gluteusmedius_iemg,0.04163240698451393
gluteusmedius_mav,0.04148787347552639
tibialisanterior_wl,0.03574552163716901
tibialisanterior_iemg,0.03480284573859886
tibialisanterior_mav,0.029534363786048384
soleus_iemg,0.015303417191031213
soleus_mav,0.013838560014268442
gracilis_var,0.011135294413655199
soleus_var,0.01074259133684397
tibialisanterior_rms,0.009954323179265638
rightexternaloblique_rms,0.009634993374254046
tibialisanterior_ssc,0.008991301736305796
gastrocmed_wl,0.007472940593972474
gastrocmed_var,0.007007928878952033
soleus_rms,0.006954779408209089
tibialisanterior_var,0.006661936990279409
gracilis_wl,0.00638345041415761
vastusmedialis_rms,0.006239092219573386
gluteusmedius_rms,0.00592181294546554
semitendinosus_rms,0.00520013053837532
semitendinosus_iemg,0.004927676108913734
vastuslateralis_var,0.004896170029223503
rectusfemoris_wl,0.004750764150273799
gracilis_rms,0.004719127868676307
semitendinosus_mav,0.004318053679672815
vastuslateralis_rms,0.0042798648033136105
vastusmedialis_wl,0.004246099476945505
vastusmedialis_var,0.004214023441367188
semitendinosus_wl,0.004051777680530783
gluteusmedius_wl,0.004030772572979723
rectusfemoris_var,0.004011506800112153
soleus_wl,0.003928515858993179
gluteusmedius_var,0.003329627571655029
gracilis_iemg,0.0031715055422844958
gracilis_mav,0.0031388451253295613
vastusmedialis_iemg,0.003069975434845985
vastusmedialis_mav,0.0030150839967656514
semitendinosus_var,0.0030139368127398776
vastuslateralis_wl,0.002855673162011787
rightexternaloblique_iemg,0.0026223310406303705
vastuslateralis_mav,0.002533814119956108
rightexternaloblique_mav,0.0023968497723706327
gastrocmed_rms,0.0022522912000101846
vastuslateralis_iemg,0.0021745274715830455
rightexternaloblique_var,0.0016810689545994012
bicepsfemoris_var,0.0015550357566416443
rightexternaloblique_wl,0.0012448057149241091
rectusfemoris_rms,0.0011514535842040317
bicepsfemoris_wl,0.001136052271294328
rectusfemoris_mav,0.0011292336495227337
bicepsfemoris_rms,0.00103424280459583
rectusfemoris_iemg,0.001020158913351729
bicepsfemoris_mav,0.0009028334463858708
bicepsfemoris_iemg,0.0008072312062278117
vastusmedialis_ssc,0.000739939194348973
gracilis_ssc,0.0007246570643983086
vastuslateralis_ssc,0.0004079329834855268
soleus_ssc,0.00037328600251355866
gluteusmedius_ssc,0.0003232339877627329
rectusfemoris_ssc,0.00027033199144923
gastrocmed_ssc,0.00024205747440914595
bicepsfemoris_ssc,0.0001961042148444285
rightexternaloblique_ssc,0.00014018223848420196
semitendinosus_ssc,0.00013166454052957344
tibialisanterior_zc,2.1620925737340222e-05
gracilis_zc,1.14668235518098e-05
gastrocmed_zc,1.1381976867139475e-05
semitendinosus_zc,6.909940612789602e-07
rectusfemoris_zc,5.521830120269863e-07
soleus_zc,4.373793583432843e-07
rightexternaloblique_zc,1.1278257611475677e-07
vastusmedialis_zc,2.0012749790174016e-08
vastuslateralis_zc,2.5561888665879947e-09
bicepsfemoris_zc,0.0
gluteusmedius_zc,0.0
