,0
gastrocmed,0.6011344299184843
tibialisanterior,0.12571191399340445
gluteusmedius,0.09672572753790336
soleus,0.051141587191217794
gracilis,0.02928434725205329
semitendinosus,0.02164393035482338
vastusmedialis,0.021524233776596482
rightexternaloblique,0.017720343877838874
vastuslateralis,0.017147985125762447
rectusfemoris,0.012334001271925707
bicepsfemoris,0.005631499699989914
